fecha_hora,flujo_cond_klb_hr_value,flujo_cana_ton_value,jcla_c1_m3_hr_value,jcla_c2_m3_hr_value,jcla_c3_m3_hr_value,jcla_c4_m3_hr_value,cond_c1_m3_hr_value,cond_c2_m3_hr_value,cond_c3_m3_hr_value,cond_c4_m3_hr_value,brix_mel_value,Indicador_1,Indicador_2
2025-03-09 00:30:00,311.9524408466131,390.04731860742714,0.22536682982222223,237.69147057944443,243.5646878781389,0.158673032215,0.05010891666666667,81.92129946634282,92.24167749209167,-5.425e-05,63.372265111118054,804.2374793603927,82.46268656716418
2025-03-09 02:30:00,305.90637248502657,,0.22634738462444445,233.79878117383336,240.8129624003889,0.16016797606,0.048794861111111115,81.6382809141662,90.96128799859166,-7.836111111111112e-05,65.70687494540972,768.6634338864161,83.54341736694678
2025-03-09 04:30:00,307.2409392723666,405.788985934129,0.2282826645784341,237.6284846924213,244.27275508489828,0.1561119291596545,0.050903399275564226,82.36111809749023,92.35758678609082,-9.069378657007523e-05,64.11041871295961,770.8602350577545,83.06818181818181
2025-03-09 06:30:00,311.7747099009465,422.07180554736107,0.22536682982222223,235.39793742327777,241.50412470122222,0.158190792265,0.05120597222222222,82.67499493025305,92.37514338378888,-6.0277777777777776e-05,54.781351830070825,764.0954593317263,82.39964050329539
2025-03-09 08:30:00,313.01647396613447,424.2769465083923,0.22908007833583333,260.91727498013887,267.4838730249722,0.15483118728,0.04652841666666667,84.23659664881158,93.41793911621667,-9.041666666666666e-05,56.2942453464375,728.0352937947422,81.08499678042497
2025-03-09 10:30:00,315.9642126925555,,0.22859783826888888,248.09131415941664,254.3975508551389,0.14454340168,0.045166138888888895,84.20456182222377,94.10891672550277,-8.438888888888889e-05,66.22810378880556,748.8008071593539,79.69937802349689
2025-03-09 12:30:00,319.62887043098357,392.9200408759894,0.22615430496461408,255.15157363385345,260.94925689005294,0.1506942878155475,0.04417996656450265,85.85586544262657,95.25767572805516,-3.0231262190025078e-05,65.00527369808363,759.3491848195018,81.21039290240812
2025-03-09 14:30:00,315.44495539216973,414.87238921286774,0.22613841392944442,255.32832227894446,260.8090123153889,0.15968573610999998,9.839032748010554,84.8289084557628,93.81020520523889,0.29957350930388893,63.96059335603472,793.7108447758781,82.62862211709047
2025-03-09 16:30:00,314.36935020678015,423.82973099337613,0.2283406435672222,253.10763905880555,258.5521609202778,0.15508838192000002,0.04836086111111112,84.37024474637451,93.76224642213333,-3.0138888888888888e-05,64.56651061383333,742.7135483052215,81.95638820638821
2025-03-09 18:30:00,322.1956605445125,,0.21892088759777778,193.10863911349998,200.36786250952775,150.19360252313055,0.04464172222222223,67.20472284093358,78.06497311918889,51.617562655209895,62.98594053070833,721.2889915147271,82.02264381884945
